date,type,locale,locale_name
2013-01-01,Holiday,National,Ecuador
2013-02-11,Holiday,National,Ecuador
2013-02-12,Holiday,National,Ecuador
2013-03-02,Holiday,Local,Manta
2013-04-01,Holiday,Regional,Cotopaxi
2013-04-12,Holiday,Local,Cuenca
2013-04-14,Holiday,Local,Libertad
2013-04-21,Holiday,Local,Riobamba
2013-04-29,Holiday,National,Ecuador
2013-05-01,Holiday,National,Ecuador
2013-05-11,Holiday,National,Ecuador
2013-05-12,Holiday,Local,Puyo
2013-05-12,Event,National,Ecuador
2013-05-24,Holiday,National,Ecuador
2013-06-23,Holiday,Local,Guaranda
2013-06-25,Holiday,Regional,Imbabura
2013-06-25,Holiday,Local,Machala
2013-06-25,Holiday,Local,Latacunga
2013-07-03,Holiday,Local,El Carmen
2013-07-03,Holiday,Local,Santo Domingo
2013-07-23,Holiday,Local,Cayambe
2013-07-24,Holiday,Local,Guayaquil
2013-07-25,Holiday,Local,Guayaquil
2013-08-05,Holiday,Local,Esmeraldas
2013-08-10,Holiday,National,Ecuador
2013-08-15,Holiday,Local,Riobamba
2013-08-24,Holiday,Local,Ambato
2013-09-28,Holiday,Local,Ibarra
2013-10-07,Holiday,Local,Quevedo
2013-10-11,Holiday,National,Ecuador
2013-11-02,Holiday,National,Ecuador
2013-11-03,Holiday,National,Ecuador
2013-11-06,Holiday,Regional,Santo Domingo de los Tsachilas
2013-11-07,Holiday,Regional,Santa Elena
2013-11-10,Holiday,Local,Guaranda
2013-11-11,Holiday,Local,Latacunga
2013-11-12,Holiday,Local,Ambato
2013-12-05,Holiday,Local,Quito
2013-12-06,Holiday,Local,Quito
2013-12-08,Holiday,Local,Loja
2013-12-21,Holiday,National,Ecuador
2013-12-22,Holiday,National,Ecuador
2013-12-22,Holiday,Local,Salinas
2013-12-23,Holiday,National,Ecuador
2013-12-24,Holiday,National,Ecuador
2013-12-25,Holiday,National,Ecuador
2013-12-26,Holiday,National,Ecuador
2013-12-31,Holiday,National,Ecuador
2014-01-01,Holiday,National,Ecuador
2014-03-02,Holiday,Local,Manta
2014-03-03,Holiday,National,Ecuador
2014-03-04,Holiday,National,Ecuador
2014-04-01,Holiday,Regional,Cotopaxi
2014-04-12,Holiday,Local,Cuenca
2014-04-14,Holiday,Local,Libertad
2014-04-18,Holiday,National,Ecuador
2014-04-21,Holiday,Local,Riobamba
2014-05-01,Holiday,National,Ecuador
2014-05-10,Holiday,National,Ecuador
2014-05-11,Event,National,Ecuador
2014-05-12,Holiday,Local,Puyo
2014-05-24,Holiday,National,Ecuador
2014-06-12,Event,National,Ecuador
2014-06-15,Event,National,Ecuador
2014-06-20,Event,National,Ecuador
2014-06-23,Holiday,Local,Guaranda
2014-06-25,Holiday,Local,Latacunga
2014-06-25,Holiday,Local,Machala
2014-06-25,Holiday,Regional,Imbabura
2014-06-25,Event,National,Ecuador
2014-06-28,Event,National,Ecuador
2014-06-29,Event,National,Ecuador
2014-06-30,Event,National,Ecuador
2014-07-01,Event,National,Ecuador
2014-07-03,Holiday,Local,El Carmen
2014-07-03,Holiday,Local,Santo Domingo
2014-07-04,Event,National,Ecuador
2014-07-05,Event,National,Ecuador
2014-07-08,Event,National,Ecuador
2014-07-09,Event,National,Ecuador
2014-07-12,Event,National,Ecuador
2014-07-13,Event,National,Ecuador
2014-07-23,Holiday,Local,Cayambe
2014-07-24,Holiday,Local,Guayaquil
2014-07-25,Holiday,Local,Guayaquil
2014-08-05,Holiday,Local,Esmeraldas
2014-08-10,Holiday,National,Ecuador
2014-08-15,Holiday,Local,Riobamba
2014-08-24,Holiday,Local,Ambato
2014-09-28,Holiday,Local,Ibarra
2014-10-07,Holiday,Local,Quevedo
2014-10-10,Holiday,National,Ecuador
2014-11-02,Holiday,National,Ecuador
2014-11-03,Holiday,National,Ecuador
2014-11-06,Holiday,Regional,Santo Domingo de los Tsachilas
2014-11-07,Holiday,Regional,Santa Elena
2014-11-10,Holiday,Local,Guaranda
2014-11-11,Holiday,Local,Latacunga
2014-11-12,Holiday,Local,Ambato
2014-11-28,Event,National,Ecuador
2014-12-01,Event,National,Ecuador
2014-12-05,Holiday,Local,Quito
2014-12-06,Holiday,Local,Quito
2014-12-08,Holiday,Local,Loja
2014-12-21,Holiday,National,Ecuador
2014-12-22,Holiday,Local,Salinas
2014-12-22,Holiday,National,Ecuador
2014-12-23,Holiday,National,Ecuador
2014-12-24,Holiday,National,Ecuador
2014-12-25,Holiday,National,Ecuador
2014-12-26,Bridge,National,Ecuador
2014-12-26,Holiday,National,Ecuador
2014-12-31,Holiday,National,Ecuador
2015-01-01,Holiday,National,Ecuador
2015-01-02,Bridge,National,Ecuador
2015-02-16,Holiday,National,Ecuador
2015-02-17,Holiday,National,Ecuador
2015-03-02,Holiday,Local,Manta
2015-04-01,Holiday,Regional,Cotopaxi
2015-04-03,Holiday,National,Ecuador
2015-04-12,Holiday,Local,Cuenca
2015-04-14,Holiday,Local,Libertad
2015-04-21,Holiday,Local,Riobamba
2015-05-01,Holiday,National,Ecuador
2015-05-09,Holiday,National,Ecuador
2015-05-10,Event,National,Ecuador
2015-05-12,Holiday,Local,Puyo
2015-05-24,Holiday,National,Ecuador
2015-06-23,Holiday,Local,Guaranda
2015-06-25,Holiday,Local,Machala
2015-06-25,Holiday,Regional,Imbabura
2015-06-25,Holiday,Local,Latacunga
2015-07-03,Holiday,Local,El Carmen
2015-07-03,Holiday,Local,Santo Domingo
2015-07-23,Holiday,Local,Cayambe
2015-07-24,Holiday,Local,Guayaquil
2015-07-25,Holiday,Local,Guayaquil
2015-08-05,Holiday,Local,Esmeraldas
2015-08-10,Holiday,National,Ecuador
2015-08-15,Holiday,Local,Riobamba
2015-08-24,Holiday,Local,Ambato
2015-09-28,Holiday,Local,Ibarra
2015-10-07,Holiday,Local,Quevedo
2015-10-09,Holiday,National,Ecuador
2015-11-02,Holiday,National,Ecuador
2015-11-03,Holiday,National,Ecuador
2015-11-06,Holiday,Regional,Santo Domingo de los Tsachilas
2015-11-07,Holiday,Regional,Santa Elena
2015-11-10,Holiday,Local,Guaranda
2015-11-11,Holiday,Local,Latacunga
2015-11-12,Holiday,Local,Ambato
2015-11-27,Event,National,Ecuador
2015-11-30,Event,National,Ecuador
2015-12-05,Holiday,Local,Quito
2015-12-06,Holiday,Local,Quito
2015-12-08,Holiday,Local,Loja
2015-12-21,Holiday,National,Ecuador
2015-12-22,Holiday,National,Ecuador
2015-12-22,Holiday,Local,Salinas
2015-12-23,Holiday,National,Ecuador
2015-12-24,Holiday,National,Ecuador
2015-12-25,Holiday,National,Ecuador
2015-12-26,Holiday,National,Ecuador
2015-12-31,Holiday,National,Ecuador
2016-01-01,Holiday,National,Ecuador
2016-02-08,Holiday,National,Ecuador
2016-02-09,Holiday,National,Ecuador
2016-03-02,Holiday,Local,Manta
2016-03-25,Holiday,National,Ecuador
2016-04-01,Holiday,Regional,Cotopaxi
2016-04-12,Holiday,Local,Cuenca
2016-04-14,Holiday,Local,Libertad
2016-04-16,Event,National,Ecuador
2016-04-17,Event,National,Ecuador
2016-04-18,Event,National,Ecuador
2016-04-19,Event,National,Ecuador
2016-04-20,Event,National,Ecuador
2016-04-21,Holiday,Local,Riobamba
2016-04-21,Event,National,Ecuador
2016-04-22,Event,National,Ecuador
2016-04-23,Event,National,Ecuador
2016-04-24,Event,National,Ecuador
2016-04-25,Event,National,Ecuador
2016-04-26,Event,National,Ecuador
2016-04-27,Event,National,Ecuador
2016-04-28,Event,National,Ecuador
2016-04-29,Event,National,Ecuador
2016-04-30,Event,National,Ecuador
2016-05-01,Holiday,National,Ecuador
2016-05-01,Event,National,Ecuador
2016-05-02,Event,National,Ecuador
2016-05-03,Event,National,Ecuador
2016-05-04,Event,National,Ecuador
2016-05-05,Event,National,Ecuador
2016-05-06,Event,National,Ecuador
2016-05-07,Holiday,National,Ecuador
2016-05-07,Event,National,Ecuador
2016-05-08,Event,National,Ecuador
2016-05-08,Event,National,Ecuador
2016-05-09,Event,National,Ecuador
2016-05-10,Event,National,Ecuador
2016-05-11,Event,National,Ecuador
2016-05-12,Holiday,Local,Puyo
2016-05-12,Event,National,Ecuador
2016-05-13,Event,National,Ecuador
2016-05-14,Event,National,Ecuador
2016-05-15,Event,National,Ecuador
2016-05-16,Event,National,Ecuador
2016-05-27,Holiday,National,Ecuador
2016-06-23,Holiday,Local,Guaranda
2016-06-25,Holiday,Local,Machala
2016-06-25,Holiday,Regional,Imbabura
2016-06-25,Holiday,Local,Latacunga
2016-07-03,Holiday,Local,El Carmen
2016-07-03,Holiday,Local,Santo Domingo
2016-07-23,Holiday,Local,Cayambe
2016-07-24,Holiday,Local,Guayaquil
2016-07-24,Holiday,Local,Guayaquil
2016-08-05,Holiday,Local,Esmeraldas
2016-08-12,Holiday,National,Ecuador
2016-08-15,Holiday,Local,Riobamba
2016-08-24,Holiday,Local,Ambato
2016-09-28,Holiday,Local,Ibarra
2016-10-07,Holiday,Local,Quevedo
2016-10-09,Holiday,National,Ecuador
2016-11-02,Holiday,National,Ecuador
2016-11-03,Holiday,National,Ecuador
2016-11-04,Bridge,National,Ecuador
2016-11-06,Holiday,Regional,Santo Domingo de los Tsachilas
2016-11-07,Holiday,Regional,Santa Elena
2016-11-10,Holiday,Local,Guaranda
2016-11-11,Holiday,Local,Latacunga
2016-11-12,Holiday,Local,Ambato
2016-11-25,Event,National,Ecuador
2016-11-28,Event,National,Ecuador
2016-12-05,Holiday,Local,Quito
2016-12-06,Holiday,Local,Quito
2016-12-08,Holiday,Local,Loja
2016-12-21,Holiday,National,Ecuador
2016-12-22,Holiday,National,Ecuador
2016-12-22,Holiday,Local,Salinas
2016-12-23,Holiday,National,Ecuador
2016-12-24,Holiday,National,Ecuador
2016-12-25,Holiday,National,Ecuador
2016-12-26,Holiday,National,Ecuador
2016-12-31,Holiday,National,Ecuador
2017-01-02,Holiday,National,Ecuador
2017-02-27,Holiday,National,Ecuador
2017-02-28,Holiday,National,Ecuador
2017-03-02,Holiday,Local,Manta
2017-04-01,Holiday,Regional,Cotopaxi
2017-04-13,Holiday,Local,Cuenca
2017-04-14,Holiday,Local,Libertad
2017-04-14,Holiday,National,Ecuador
2017-04-21,Holiday,Local,Riobamba
2017-05-01,Holiday,National,Ecuador
2017-05-12,Holiday,Local,Puyo
2017-05-13,Holiday,National,Ecuador
2017-05-14,Event,National,Ecuador
2017-05-26,Holiday,National,Ecuador
2017-06-23,Holiday,Local,Guaranda
2017-06-25,Holiday,Regional,Imbabura
2017-06-25,Holiday,Local,Latacunga
2017-06-25,Holiday,Local,Machala
2017-07-03,Holiday,Local,El Carmen
2017-07-03,Holiday,Local,Santo Domingo
2017-07-23,Holiday,Local,Cayambe
2017-07-24,Holiday,Local,Guayaquil
2017-07-25,Holiday,Local,Guayaquil
2017-08-05,Holiday,Local,Esmeraldas
2017-08-11,Holiday,National,Ecuador
2017-08-15,Holiday,Local,Riobamba
2017-08-24,Holiday,Local,Ambato
2017-09-29,Holiday,Local,Ibarra
2017-10-07,Holiday,Local,Quevedo
2017-10-09,Holiday,National,Ecuador
2017-11-02,Holiday,National,Ecuador
2017-11-03,Holiday,National,Ecuador
2017-11-06,Holiday,Regional,Santo Domingo de los Tsachilas
2017-11-07,Holiday,Regional,Santa Elena
2017-11-10,Holiday,Local,Guaranda
2017-11-11,Holiday,Local,Latacunga
2017-11-12,Holiday,Local,Ambato
2017-12-05,Holiday,Local,Quito
2017-12-08,Holiday,Local,Loja
2017-12-08,Holiday,Local,Quito
2017-12-21,Holiday,National,Ecuador
2017-12-22,Holiday,Local,Salinas
2017-12-22,Holiday,National,Ecuador
2017-12-23,Holiday,National,Ecuador
2017-12-24,Holiday,National,Ecuador
2017-12-25,Holiday,National,Ecuador
2017-12-26,Holiday,National,Ecuador
